"Step","RoboPianist-repertoire-150-NocturneOp9No2-v0__42__1700128439 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__42__1700128439 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__42__1700128439 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700109973.655212--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700109973.655212--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700109973.655212--baseline-no-dropQ - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1700077505.1347733--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1700077505.1347733--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1700077505.1347733--baseline-no-dropQ - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1700045000.0311573--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1700045000.0311573--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1700045000.0311573--baseline-no-dropQ - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MAX","sacsag-NocturneOp9No2-seed-42-1699797665.8685763--relu-lr5e-4-three-head-clip - train/return","sacsag-NocturneOp9No2-seed-42-1699797665.8685763--relu-lr5e-4-three-head-clip - train/return__MIN","sacsag-NocturneOp9No2-seed-42-1699797665.8685763--relu-lr5e-4-three-head-clip - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699792010.5146313--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699792010.5146313--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699792010.5146313--relu-lr5e-4-one-head-no-clip - train/return__MAX","sacsag-NocturneOp9No2-seed-200-1699760587.9709177--relu-lr5e-4-three-head-clip - train/return","sacsag-NocturneOp9No2-seed-200-1699760587.9709177--relu-lr5e-4-three-head-clip - train/return__MIN","sacsag-NocturneOp9No2-seed-200-1699760587.9709177--relu-lr5e-4-three-head-clip - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1699757746.6513517--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1699757746.6513517--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1699757746.6513517--relu-lr5e-4-one-head-no-clip - train/return__MAX"
"13842","528.9253529868904","528.9253529868904","528.9253529868904","951.3338296850928","951.3338296850928","951.3338296850928","358.51381812082224","358.51381812082224","358.51381812082224","907.0804920532404","907.0804920532404","907.0804920532404","733.2251075919668","733.2251075919668","733.2251075919668","158.15108168532984","158.15108168532984","158.15108168532984","1399.2698425014753","1399.2698425014753","1399.2698425014753","1295.742423607624","1295.742423607624","1295.742423607624","1388.4590590931066","1388.4590590931066","1388.4590590931066","1263.7641832312247","1263.7641832312247","1263.7641832312247"
"14611","578.7795649484883","578.7795649484883","578.7795649484883","1014.3688042484483","1014.3688042484483","1014.3688042484483","390.60132309536937","390.60132309536937","390.60132309536937","978.5939600193861","978.5939600193861","978.5939600193861","822.2382428982974","822.2382428982974","822.2382428982974","229.0161048531211","229.0161048531211","229.0161048531211","1458.8509945865126","1458.8509945865126","1458.8509945865126","1308.115649219776","1308.115649219776","1308.115649219776","1394.6233485097189","1394.6233485097189","1394.6233485097189","1316.6435348428402","1316.6435348428402","1316.6435348428402"
"15380","606.885915907544","606.885915907544","606.885915907544","1077.6039926667438","1077.6039926667438","1077.6039926667438","441.8075397406013","441.8075397406013","441.8075397406013","995.3447370760266","995.3447370760266","995.3447370760266","885.2327573927084","885.2327573927084","885.2327573927084","287.80721418483813","287.80721418483813","287.80721418483813","1477.7043369000535","1477.7043369000535","1477.7043369000535","1355.6434755972532","1355.6434755972532","1355.6434755972532","1448.9790373570906","1448.9790373570906","1448.9790373570906","1354.2320872952366","1354.2320872952366","1354.2320872952366"
"16149","658.1798062112849","658.1798062112849","658.1798062112849","1100.950137920005","1100.950137920005","1100.950137920005","465.5869487301595","465.5869487301595","465.5869487301595","1013.5798852537314","1013.5798852537314","1013.5798852537314","899.3080540928005","899.3080540928005","899.3080540928005","356.51321462325177","356.51321462325177","356.51321462325177","1500.6021643485547","1500.6021643485547","1500.6021643485547","1366.908758926102","1366.908758926102","1366.908758926102","1477.265066929111","1477.265066929111","1477.265066929111","1362.557092232973","1362.557092232973","1362.557092232973"
"16918","678.1868363165631","678.1868363165631","678.1868363165631","1100.3454464601475","1100.3454464601475","1100.3454464601475","520.4686150780351","520.4686150780351","520.4686150780351","1080.8596195438379","1080.8596195438379","1080.8596195438379","1011.0093479037495","1011.0093479037495","1011.0093479037495","311.3052519224627","311.3052519224627","311.3052519224627","1525.0053035239291","1525.0053035239291","1525.0053035239291","1386.0730960597098","1386.0730960597098","1386.0730960597098","1490.95980494591","1490.95980494591","1490.95980494591","1388.235979430986","1388.235979430986","1388.235979430986"
"17687","672.2847220812749","672.2847220812749","672.2847220812749","1122.8654119818261","1122.8654119818261","1122.8654119818261","542.6898443139805","542.6898443139805","542.6898443139805","1100.5866711837866","1100.5866711837866","1100.5866711837866","1034.292226194688","1034.292226194688","1034.292226194688","347.8464705588698","347.8464705588698","347.8464705588698","1540.2151986796068","1540.2151986796068","1540.2151986796068","1425.4472406907619","1425.4472406907619","1425.4472406907619","1511.2518329715908","1511.2518329715908","1511.2518329715908","1406.361231008928","1406.361231008928","1406.361231008928"
"18456","741.7658377108779","741.7658377108779","741.7658377108779","1086.8485574200852","1086.8485574200852","1086.8485574200852","609.6120376077602","609.6120376077602","609.6120376077602","1086.4502021877634","1086.4502021877634","1086.4502021877634","1087.437502260323","1087.437502260323","1087.437502260323","426.71571815043455","426.71571815043455","426.71571815043455","1548.008407791414","1548.008407791414","1548.008407791414","1431.7438500139342","1431.7438500139342","1431.7438500139342","1536.4796794635292","1536.4796794635292","1536.4796794635292","1454.3586940315365","1454.3586940315365","1454.3586940315365"
"19225","719.097135739856","719.097135739856","719.097135739856","1144.2968792417544","1144.2968792417544","1144.2968792417544","620.2612570533784","620.2612570533784","620.2612570533784","1104.0346145352273","1104.0346145352273","1104.0346145352273","1067.4655988327718","1067.4655988327718","1067.4655988327718","399.92689449272046","399.92689449272046","399.92689449272046","1593.939852167033","1593.939852167033","1593.939852167033","1460.8870358817933","1460.8870358817933","1460.8870358817933","1549.4533356328166","1549.4533356328166","1549.4533356328166","1451.3464903492304","1451.3464903492304","1451.3464903492304"
"19994","715.0902105809643","715.0902105809643","715.0902105809643","1112.846677335966","1112.846677335966","1112.846677335966","597.6165432507794","597.6165432507794","597.6165432507794","1118.7190105441223","1118.7190105441223","1118.7190105441223","1102.408453199143","1102.408453199143","1102.408453199143","420.4044444315255","420.4044444315255","420.4044444315255","1598.8217460149276","1598.8217460149276","1598.8217460149276","1461.6769911557453","1461.6769911557453","1461.6769911557453","1568.5148859623282","1568.5148859623282","1568.5148859623282","1487.9865963470202","1487.9865963470202","1487.9865963470202"
"20763","741.9605205404891","741.9605205404891","741.9605205404891","1167.1643034170354","1167.1643034170354","1167.1643034170354","610.3744215296832","610.3744215296832","610.3744215296832","1169.8082992638024","1169.8082992638024","1169.8082992638024","1132.4655984647356","1132.4655984647356","1132.4655984647356","495.8087603700801","495.8087603700801","495.8087603700801","1617.9962866468525","1617.9962866468525","1617.9962866468525","1464.5596639206187","1464.5596639206187","1464.5596639206187","1603.2826183263285","1603.2826183263285","1603.2826183263285","1499.2620164368104","1499.2620164368104","1499.2620164368104"
"21532","741.4142522345528","741.4142522345528","741.4142522345528","1168.6705821322553","1168.6705821322553","1168.6705821322553","646.8531788492326","646.8531788492326","646.8531788492326","1161.3183143179922","1161.3183143179922","1161.3183143179922","1132.3207932899347","1132.3207932899347","1132.3207932899347","449.5423780983303","449.5423780983303","449.5423780983303","1638.2234377832003","1638.2234377832003","1638.2234377832003","1512.356095703259","1512.356095703259","1512.356095703259","1602.1221889587773","1602.1221889587773","1602.1221889587773","1523.7490206387538","1523.7490206387538","1523.7490206387538"
"22301","695.7124279335455","695.7124279335455","695.7124279335455","1171.6585453899686","1171.6585453899686","1171.6585453899686","670.149048715103","670.149048715103","670.149048715103","1212.8644822337578","1212.8644822337578","1212.8644822337578","1120.547463715201","1120.547463715201","1120.547463715201","508.1406728214024","508.1406728214024","508.1406728214024","1648.8619022854887","1648.8619022854887","1648.8619022854887","1507.5373638289786","1507.5373638289786","1507.5373638289786","1618.734907713608","1618.734907713608","1618.734907713608","1554.093410931312","1554.093410931312","1554.093410931312"
"23070","739.3702471136045","739.3702471136045","739.3702471136045","1188.6296302760215","1188.6296302760215","1188.6296302760215","652.3776079974747","652.3776079974747","652.3776079974747","1166.2758504396738","1166.2758504396738","1166.2758504396738","1160.2053585212864","1160.2053585212864","1160.2053585212864","513.1813070837708","513.1813070837708","513.1813070837708","1662.7335196683475","1662.7335196683475","1662.7335196683475","1561.5475763388874","1561.5475763388874","1561.5475763388874","1634.763797451078","1634.763797451078","1634.763797451078","1556.927964441428","1556.927964441428","1556.927964441428"
"23839","737.3391648214387","737.3391648214387","737.3391648214387","1146.7091157207703","1146.7091157207703","1146.7091157207703","655.4572539710648","655.4572539710648","655.4572539710648","1234.66141295439","1234.66141295439","1234.66141295439","1155.5229862361336","1155.5229862361336","1155.5229862361336","553.9967163102482","553.9967163102482","553.9967163102482","1695.774283709774","1695.774283709774","1695.774283709774","1548.805846733118","1548.805846733118","1548.805846733118","1646.9684280514873","1646.9684280514873","1646.9684280514873","1557.6076457847573","1557.6076457847573","1557.6076457847573"
"24608","785.6720158729491","785.6720158729491","785.6720158729491","1192.467051804864","1192.467051804864","1192.467051804864","692.518707540294","692.518707540294","692.518707540294","1289.6385146003067","1289.6385146003067","1289.6385146003067","1209.2134994334417","1209.2134994334417","1209.2134994334417","527.6555325625039","527.6555325625039","527.6555325625039","1715.8185743465328","1715.8185743465328","1715.8185743465328","1543.381690360265","1543.381690360265","1543.381690360265","1648.2172670626612","1648.2172670626612","1648.2172670626612","1561.884835505201","1561.884835505201","1561.884835505201"
"25377","810.8032339815215","810.8032339815215","810.8032339815215","1205.4229585702512","1205.4229585702512","1205.4229585702512","702.4244490121081","702.4244490121081","702.4244490121081","1218.9692856089375","1218.9692856089375","1218.9692856089375","1227.5207020342962","1227.5207020342962","1227.5207020342962","546.00517941898","546.00517941898","546.00517941898","1701.9873330824564","1701.9873330824564","1701.9873330824564","1589.6764602875517","1589.6764602875517","1589.6764602875517","1678.7770560931538","1678.7770560931538","1678.7770560931538","1601.6648268003555","1601.6648268003555","1601.6648268003555"
"26146","868.9553387734389","868.9553387734389","868.9553387734389","1215.8343935621776","1215.8343935621776","1215.8343935621776","673.7441538567074","673.7441538567074","673.7441538567074","1316.5543566061483","1316.5543566061483","1316.5543566061483","1217.136039019965","1217.136039019965","1217.136039019965","587.4749210329009","587.4749210329009","587.4749210329009","1715.8194725161577","1715.8194725161577","1715.8194725161577","1575.1885550720344","1575.1885550720344","1575.1885550720344","1671.687915043412","1671.687915043412","1671.687915043412","1603.1189213088735","1603.1189213088735","1603.1189213088735"
"26915","900.1248376342779","900.1248376342779","900.1248376342779","1240.4921572127666","1240.4921572127666","1240.4921572127666","670.878991749622","670.878991749622","670.878991749622","1315.3752332567722","1315.3752332567722","1315.3752332567722","1224.3377459057447","1224.3377459057447","1224.3377459057447","601.6129378456909","601.6129378456909","601.6129378456909","1732.5925557864023","1732.5925557864023","1732.5925557864023","1577.0862024269563","1577.0862024269563","1577.0862024269563","1694.1333045237025","1694.1333045237025","1694.1333045237025","1603.4476587952843","1603.4476587952843","1603.4476587952843"
"27684","900.3216502960527","900.3216502960527","900.3216502960527","1218.0822771900498","1218.0822771900498","1218.0822771900498","674.0177141873562","674.0177141873562","674.0177141873562","1316.415552525808","1316.415552525808","1316.415552525808","1229.8661720892699","1229.8661720892699","1229.8661720892699","641.5494799920621","641.5494799920621","641.5494799920621","1741.0997946624843","1741.0997946624843","1741.0997946624843","1597.6979157770666","1597.6979157770666","1597.6979157770666","1694.2008277128152","1694.2008277128152","1694.2008277128152","1627.0553548926564","1627.0553548926564","1627.0553548926564"
"28453","911.0954780953949","911.0954780953949","911.0954780953949","1238.367418383201","1238.367418383201","1238.367418383201","691.1665804594314","691.1665804594314","691.1665804594314","1341.9931325156376","1341.9931325156376","1341.9931325156376","1249.1811061902367","1249.1811061902367","1249.1811061902367","663.3661102434274","663.3661102434274","663.3661102434274","1730.9287258468546","1730.9287258468546","1730.9287258468546","1613.8537437266823","1613.8537437266823","1613.8537437266823","1690.5490928538918","1690.5490928538918","1690.5490928538918","1640.4715516211913","1640.4715516211913","1640.4715516211913"
"29222","908.4770720442965","908.4770720442965","908.4770720442965","1235.8739102681848","1235.8739102681848","1235.8739102681848","761.6035292049545","761.6035292049545","761.6035292049545","1334.4359768216777","1334.4359768216777","1334.4359768216777","1287.2082808332805","1287.2082808332805","1287.2082808332805","642.8058251371792","642.8058251371792","642.8058251371792","1735.426393670005","1735.426393670005","1735.426393670005","1626.1161015154407","1626.1161015154407","1626.1161015154407","1703.1347613072471","1703.1347613072471","1703.1347613072471","1637.8855023856308","1637.8855023856308","1637.8855023856308"
"29991","886.3529246192569","886.3529246192569","886.3529246192569","1247.8922958774433","1247.8922958774433","1247.8922958774433","783.3193053692547","783.3193053692547","783.3193053692547","1353.9730781340752","1353.9730781340752","1353.9730781340752","1298.6852103913004","1298.6852103913004","1298.6852103913004","686.6848165942135","686.6848165942135","686.6848165942135","1749.2692163910783","1749.2692163910783","1749.2692163910783","1643.7668777132483","1643.7668777132483","1643.7668777132483","1713.5804106973485","1713.5804106973485","1713.5804106973485","1625.6205522081846","1625.6205522081846","1625.6205522081846"
"30760","900.917113613327","900.917113613327","900.917113613327","1225.6481986998724","1225.6481986998724","1225.6481986998724","852.8896442464645","852.8896442464645","852.8896442464645","1357.0346999432113","1357.0346999432113","1357.0346999432113","1277.0086471573886","1277.0086471573886","1277.0086471573886","667.9631011324309","667.9631011324309","667.9631011324309","1764.1301601188563","1764.1301601188563","1764.1301601188563","1635.7791351482488","1635.7791351482488","1635.7791351482488","1718.0890635784422","1718.0890635784422","1718.0890635784422","1637.5838000531362","1637.5838000531362","1637.5838000531362"
"31529","903.99984750605","903.99984750605","903.99984750605","1221.69042238359","1221.69042238359","1221.69042238359","783.0018953104816","783.0018953104816","783.0018953104816","1338.4696845141084","1338.4696845141084","1338.4696845141084","1270.1984057428556","1270.1984057428556","1270.1984057428556","653.7529256495266","653.7529256495266","653.7529256495266","1749.5142177306739","1749.5142177306739","1749.5142177306739","1648.7789247415124","1648.7789247415124","1648.7789247415124","1726.7085562109457","1726.7085562109457","1726.7085562109457","1660.4582208850945","1660.4582208850945","1660.4582208850945"
