"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-44-1699883196.667999--dipo-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-44-1699883196.667999--dipo-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-44-1699883196.667999--dipo-clipaction-NocturneOp9No2 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1699883171.8948--dipo-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1699883171.8948--dipo-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1699883171.8948--dipo-clipaction-NocturneOp9No2 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return__MAX"
"8459","1299.8387148808579","1299.8387148808579","1299.8387148808579","1301.527416682776","1301.527416682776","1301.527416682776","1292.3209851056931","1292.3209851056931","1292.3209851056931"
"9228","1342.252205004191","1342.252205004191","1342.252205004191","1356.2598958145643","1356.2598958145643","1356.2598958145643","1329.7480979028653","1329.7480979028653","1329.7480979028653"
"9997","1336.6432961557916","1336.6432961557916","1336.6432961557916","1375.794719604067","1375.794719604067","1375.794719604067","1339.3368596741145","1339.3368596741145","1339.3368596741145"
"10766","1438.639570915027","1438.639570915027","1438.639570915027","1440.5502479070672","1440.5502479070672","1440.5502479070672","1479.3575704010748","1479.3575704010748","1479.3575704010748"
"11535","1475.8417892167963","1475.8417892167963","1475.8417892167963","1472.6874589077102","1472.6874589077102","1472.6874589077102","1507.987195340091","1507.987195340091","1507.987195340091"
"12304","1485.5031911688739","1485.5031911688739","1485.5031911688739","1485.1499053723617","1485.1499053723617","1485.1499053723617","1536.6074408709792","1536.6074408709792","1536.6074408709792"
"13073","1576.782252664004","1576.782252664004","1576.782252664004","1527.0353202651293","1527.0353202651293","1527.0353202651293","1543.8547501602598","1543.8547501602598","1543.8547501602598"
"13842","1548.7777464038606","1548.7777464038606","1548.7777464038606","1569.3870784511653","1569.3870784511653","1569.3870784511653","1577.5493846441025","1577.5493846441025","1577.5493846441025"
"14611","1591.2577886880097","1591.2577886880097","1591.2577886880097","1615.9643256090706","1615.9643256090706","1615.9643256090706","1583.5792305083241","1583.5792305083241","1583.5792305083241"
"15380","1602.2116980015803","1602.2116980015803","1602.2116980015803","1599.8845826887316","1599.8845826887316","1599.8845826887316","1642.112847460934","1642.112847460934","1642.112847460934"
"16149","1632.1660469170868","1632.1660469170868","1632.1660469170868","1658.417903918662","1658.417903918662","1658.417903918662","1649.5635772675628","1649.5635772675628","1649.5635772675628"
"16918","1639.3134480087472","1639.3134480087472","1639.3134480087472","1659.4556737870755","1659.4556737870755","1659.4556737870755","1660.603824156287","1660.603824156287","1660.603824156287"
"17687","1661.7856935089046","1661.7856935089046","1661.7856935089046","1655.6641234833185","1655.6641234833185","1655.6641234833185","1672.954812870868","1672.954812870868","1672.954812870868"
"18456","1680.4994138970221","1680.4994138970221","1680.4994138970221","1650.0246627645968","1650.0246627645968","1650.0246627645968","1697.149041791007","1697.149041791007","1697.149041791007"
"19225","1665.316733401989","1665.316733401989","1665.316733401989","1687.5968256556177","1687.5968256556177","1687.5968256556177","1710.331684872776","1710.331684872776","1710.331684872776"
"19994","1703.6802155875437","1703.6802155875437","1703.6802155875437","1674.4848049502016","1674.4848049502016","1674.4848049502016","1723.945228383094","1723.945228383094","1723.945228383094"
"20763","1730.364649907949","1730.364649907949","1730.364649907949","1691.0601667227081","1691.0601667227081","1691.0601667227081","1740.938208853819","1740.938208853819","1740.938208853819"
"21532","1748.0712569416723","1748.0712569416723","1748.0712569416723","1693.6950491297416","1693.6950491297416","1693.6950491297416","1750.9128291436164","1750.9128291436164","1750.9128291436164"
"22301","1742.1050141911967","1742.1050141911967","1742.1050141911967","1716.0752954754414","1716.0752954754414","1716.0752954754414","1758.9522425595237","1758.9522425595237","1758.9522425595237"
"23070","1767.3987298004474","1767.3987298004474","1767.3987298004474","1720.3439072257029","1720.3439072257029","1720.3439072257029","1764.8647495793064","1764.8647495793064","1764.8647495793064"
"23839","1775.3564750797989","1775.3564750797989","1775.3564750797989","1719.8010092165098","1719.8010092165098","1719.8010092165098","1783.8860822441948","1783.8860822441948","1783.8860822441948"
"24608","1761.8293816905393","1761.8293816905393","1761.8293816905393","1773.1332768209404","1773.1332768209404","1773.1332768209404","1773.1372086567258","1773.1372086567258","1773.1372086567258"
"25377","1764.9218929238252","1764.9218929238252","1764.9218929238252","1741.89622311819","1741.89622311819","1741.89622311819","1800.8168884281924","1800.8168884281924","1800.8168884281924"
"26146","1785.0533146289804","1785.0533146289804","1785.0533146289804","1783.2610561334895","1783.2610561334895","1783.2610561334895","1809.5680764274696","1809.5680764274696","1809.5680764274696"
"26915","1810.5256286313354","1810.5256286313354","1810.5256286313354","1787.507507965897","1787.507507965897","1787.507507965897","1831.7903449287282","1831.7903449287282","1831.7903449287282"
"27684","1813.0244619767968","1813.0244619767968","1813.0244619767968","1813.0726159859123","1813.0726159859123","1813.0726159859123","1822.7442205851848","1822.7442205851848","1822.7442205851848"
"28453","1814.2446424485302","1814.2446424485302","1814.2446424485302","1785.072167250674","1785.072167250674","1785.072167250674","1837.3127655489993","1837.3127655489993","1837.3127655489993"
"29222","1838.1889420645412","1838.1889420645412","1838.1889420645412","1816.8796513195807","1816.8796513195807","1816.8796513195807","1847.6840127851528","1847.6840127851528","1847.6840127851528"
"29991","1851.4081417572988","1851.4081417572988","1851.4081417572988","1811.7431883115562","1811.7431883115562","1811.7431883115562","1853.2093767940933","1853.2093767940933","1853.2093767940933"
"30760","1850.6723381336415","1850.6723381336415","1850.6723381336415","1833.828059861582","1833.828059861582","1833.828059861582","1852.4359849628518","1852.4359849628518","1852.4359849628518"
"31529","1855.903160597976","1855.903160597976","1855.903160597976","1833.7843072357934","1833.7843072357934","1833.7843072357934","1864.7572733315928","1864.7572733315928","1864.7572733315928"
"32298","1870.8719076961481","1870.8719076961481","1870.8719076961481","1847.1270904928128","1847.1270904928128","1847.1270904928128","1867.697286751233","1867.697286751233","1867.697286751233"
"33067","1864.9096789444288","1864.9096789444288","1864.9096789444288","1854.4055375921437","1854.4055375921437","1854.4055375921437","1875.3889666294751","1875.3889666294751","1875.3889666294751"
"33836","1879.841127534677","1879.841127534677","1879.841127534677","1860.601703774042","1860.601703774042","1860.601703774042","1886.5748209908666","1886.5748209908666","1886.5748209908666"
"34605","1884.406802347899","1884.406802347899","1884.406802347899","1870.812497287923","1870.812497287923","1870.812497287923","1891.1973913529298","1891.1973913529298","1891.1973913529298"
"35374","1904.204831506013","1904.204831506013","1904.204831506013","1876.7277533696843","1876.7277533696843","1876.7277533696843","1887.904388554056","1887.904388554056","1887.904388554056"
"36143","1900.465433325777","1900.465433325777","1900.465433325777","1873.019163707877","1873.019163707877","1873.019163707877","1894.7552527144176","1894.7552527144176","1894.7552527144176"
"36912","1901.6085151437833","1901.6085151437833","1901.6085151437833","1885.0495324761828","1885.0495324761828","1885.0495324761828","1898.059024092489","1898.059024092489","1898.059024092489"
"37681","1905.8617886516163","1905.8617886516163","1905.8617886516163","1877.5175240935664","1877.5175240935664","1877.5175240935664","1901.4688992254144","1901.4688992254144","1901.4688992254144"
"38450","1920.1922204631749","1920.1922204631749","1920.1922204631749","1906.2243751133","1906.2243751133","1906.2243751133","1904.0564058533039","1904.0564058533039","1904.0564058533039"
"39219","1914.2988645458825","1914.2988645458825","1914.2988645458825","1904.25727301367","1904.25727301367","1904.25727301367","1919.5650731248688","1919.5650731248688","1919.5650731248688"
"39988","1918.336027079248","1918.336027079248","1918.336027079248","1916.3381995548882","1916.3381995548882","1916.3381995548882","1927.7184614282514","1927.7184614282514","1927.7184614282514"
"40757","1935.9969148835448","1935.9969148835448","1935.9969148835448","1920.478679275803","1920.478679275803","1920.478679275803","1921.594246179291","1921.594246179291","1921.594246179291"
"41526","1938.7452952658477","1938.7452952658477","1938.7452952658477","1922.7757313010115","1922.7757313010115","1922.7757313010115","1941.172928426627","1941.172928426627","1941.172928426627"
"42295","1943.4462866983558","1943.4462866983558","1943.4462866983558","1918.8706935048117","1918.8706935048117","1918.8706935048117","1937.7615621684809","1937.7615621684809","1937.7615621684809"
"43064","1952.0787779492039","1952.0787779492039","1952.0787779492039","1924.9049785727357","1924.9049785727357","1924.9049785727357","1948.8180593198415","1948.8180593198415","1948.8180593198415"
"43833","1946.10146466495","1946.10146466495","1946.10146466495","1931.3326771938896","1931.3326771938896","1931.3326771938896","1952.4650152069046","1952.4650152069046","1952.4650152069046"
"44602","1962.393105272853","1962.393105272853","1962.393105272853","1943.3264186834706","1943.3264186834706","1943.3264186834706","1946.4582350881403","1946.4582350881403","1946.4582350881403"
"45371","1962.7695382726695","1962.7695382726695","1962.7695382726695","1942.8438649521681","1942.8438649521681","1942.8438649521681","1952.661550817931","1952.661550817931","1952.661550817931"
"46140","1962.1201920624153","1962.1201920624153","1962.1201920624153","1947.7056298566179","1947.7056298566179","1947.7056298566179","1957.318981347168","1957.318981347168","1957.318981347168"
"46909","1970.9532283238052","1970.9532283238052","1970.9532283238052","1956.8080003949044","1956.8080003949044","1956.8080003949044","1973.1416882228368","1973.1416882228368","1973.1416882228368"
"47678","1975.102435180511","1975.102435180511","1975.102435180511","1955.1014681782133","1955.1014681782133","1955.1014681782133","1969.9742590806623","1969.9742590806623","1969.9742590806623"
"48447","1984.0340990813497","1984.0340990813497","1984.0340990813497","1961.8110721640799","1961.8110721640799","1961.8110721640799","1965.865078106473","1965.865078106473","1965.865078106473"
"49216","1979.90465569037","1979.90465569037","1979.90465569037","1963.9704819304218","1963.9704819304218","1963.9704819304218","1967.4359782970923","1967.4359782970923","1967.4359782970923"
"49985","1985.2235694897988","1985.2235694897988","1985.2235694897988","1967.8238626901177","1967.8238626901177","1967.8238626901177","1976.3527262946563","1976.3527262946563","1976.3527262946563"
"50754","1990.5677599287703","1990.5677599287703","1990.5677599287703","1967.9846561963418","1967.9846561963418","1967.9846561963418","1978.545115565314","1978.545115565314","1978.545115565314"
"51523","1990.4204809148819","1990.4204809148819","1990.4204809148819","1984.0598348210685","1984.0598348210685","1984.0598348210685","1971.988004077523","1971.988004077523","1971.988004077523"
"52292","1992.7563937823559","1992.7563937823559","1992.7563937823559","1982.238711866419","1982.238711866419","1982.238711866419","1970.8279956112408","1970.8279956112408","1970.8279956112408"
"53061","1992.079576993159","1992.079576993159","1992.079576993159","1987.8374872549186","1987.8374872549186","1987.8374872549186","1983.8654380341945","1983.8654380341945","1983.8654380341945"
"53830","2002.7436967477583","2002.7436967477583","2002.7436967477583","1983.401283711223","1983.401283711223","1983.401283711223","1989.6816986727263","1989.6816986727263","1989.6816986727263"
"54599","2003.1947837406974","2003.1947837406974","2003.1947837406974","1989.5594587695612","1989.5594587695612","1989.5594587695612","1981.8135844804551","1981.8135844804551","1981.8135844804551"
"55368","2001.049177518291","2001.049177518291","2001.049177518291","1994.484723915672","1994.484723915672","1994.484723915672","1987.9896134739329","1987.9896134739329","1987.9896134739329"
"56137","2005.3647995702804","2005.3647995702804","2005.3647995702804","1995.3968788288137","1995.3968788288137","1995.3968788288137","1980.2466408065493","1980.2466408065493","1980.2466408065493"
"56906","2015.0779323179347","2015.0779323179347","2015.0779323179347","1997.6905968837198","1997.6905968837198","1997.6905968837198","1988.206477228613","1988.206477228613","1988.206477228613"
"57675","2001.0621348192683","2001.0621348192683","2001.0621348192683","1998.4413853219903","1998.4413853219903","1998.4413853219903","1993.2075804119795","1993.2075804119795","1993.2075804119795"
"58444","2008.684460261671","2008.684460261671","2008.684460261671","2004.3978085341303","2004.3978085341303","2004.3978085341303","1998.1666570674802","1998.1666570674802","1998.1666570674802"
"59213","2023.6817194955236","2023.6817194955236","2023.6817194955236","2008.0788007096417","2008.0788007096417","2008.0788007096417","1996.0754196396913","1996.0754196396913","1996.0754196396913"
"59982","2018.1740497052606","2018.1740497052606","2018.1740497052606","1998.8235418773613","1998.8235418773613","1998.8235418773613","2000.228700030889","2000.228700030889","2000.228700030889"
"60751","2007.3173044862287","2007.3173044862287","2007.3173044862287","2002.3658575247853","2002.3658575247853","2002.3658575247853","2004.8060299538163","2004.8060299538163","2004.8060299538163"
"61520","2019.1833091020092","2019.1833091020092","2019.1833091020092","2022.7899755763997","2022.7899755763997","2022.7899755763997","2012.185557759515","2012.185557759515","2012.185557759515"
"62289","2023.3903515305133","2023.3903515305133","2023.3903515305133","2008.4652299320228","2008.4652299320228","2008.4652299320228","2012.2456665832888","2012.2456665832888","2012.2456665832888"
"63058","2018.7809799133506","2018.7809799133506","2018.7809799133506","2011.013691018389","2011.013691018389","2011.013691018389","2009.9219064545723","2009.9219064545723","2009.9219064545723"
"63827","2022.3562416252241","2022.3562416252241","2022.3562416252241","2014.1117074243373","2014.1117074243373","2014.1117074243373","2006.65688275685","2006.65688275685","2006.65688275685"
"64596","2019.7269598289872","2019.7269598289872","2019.7269598289872","2017.3496951132279","2017.3496951132279","2017.3496951132279","2016.6632712310936","2016.6632712310936","2016.6632712310936"
"65365","2028.3996160253064","2028.3996160253064","2028.3996160253064","2023.0405525029787","2023.0405525029787","2023.0405525029787","2017.2442596188805","2017.2442596188805","2017.2442596188805"
"66134","2025.9288697634352","2025.9288697634352","2025.9288697634352","2027.5477264704532","2027.5477264704532","2027.5477264704532","2011.5858510065104","2011.5858510065104","2011.5858510065104"
"66903","2028.414956384106","2028.414956384106","2028.414956384106","2027.7737167738032","2027.7737167738032","2027.7737167738032","2022.6539378960301","2022.6539378960301","2022.6539378960301"
"67672","2030.003552520249","2030.003552520249","2030.003552520249","2030.8265664734135","2030.8265664734135","2030.8265664734135","2022.5695639442706","2022.5695639442706","2022.5695639442706"
"68441","2033.6477965487163","2033.6477965487163","2033.6477965487163","2038.885522850278","2038.885522850278","2038.885522850278","2014.8837854225071","2014.8837854225071","2014.8837854225071"
"69210","2034.7515794914545","2034.7515794914545","2034.7515794914545","2032.9014771967395","2032.9014771967395","2032.9014771967395","2019.488129146969","2019.488129146969","2019.488129146969"
"69979","2028.436980229897","2028.436980229897","2028.436980229897","2033.9675815021517","2033.9675815021517","2033.9675815021517","2029.563802867037","2029.563802867037","2029.563802867037"
"70748","2035.657365940095","2035.657365940095","2035.657365940095","2037.2943701742108","2037.2943701742108","2037.2943701742108","2026.440537894257","2026.440537894257","2026.440537894257"
"71517","2038.890029948676","2038.890029948676","2038.890029948676","2030.2472578951838","2030.2472578951838","2030.2472578951838","2028.420436583734","2028.420436583734","2028.420436583734"
"72286","2039.8333704005154","2039.8333704005154","2039.8333704005154","2034.8509228374414","2034.8509228374414","2034.8509228374414","2026.81680989411","2026.81680989411","2026.81680989411"
"73055","2042.6843685162291","2042.6843685162291","2042.6843685162291","2028.5517839677996","2028.5517839677996","2028.5517839677996","2026.4011685031328","2026.4011685031328","2026.4011685031328"
"73824","2048.7077836421067","2048.7077836421067","2048.7077836421067","2035.6193991751165","2035.6193991751165","2035.6193991751165","2028.8655160445887","2028.8655160445887","2028.8655160445887"
"74593","2041.1614286627332","2041.1614286627332","2041.1614286627332","2036.8750499423597","2036.8750499423597","2036.8750499423597","2024.4428334536326","2024.4428334536326","2024.4428334536326"
"75362","2047.7606077822547","2047.7606077822547","2047.7606077822547","2048.7694993177333","2048.7694993177333","2048.7694993177333","2034.4084264720016","2034.4084264720016","2034.4084264720016"
"76131","2044.3241561778161","2044.3241561778161","2044.3241561778161","2037.7468093401123","2037.7468093401123","2037.7468093401123","2035.076318200297","2035.076318200297","2035.076318200297"
"76900","2046.7813857437977","2046.7813857437977","2046.7813857437977","2038.679840076786","2038.679840076786","2038.679840076786","2037.105552420655","2037.105552420655","2037.105552420655"
"77669","2044.3085844712002","2044.3085844712002","2044.3085844712002","2044.214652412813","2044.214652412813","2044.214652412813","2034.7901989233585","2034.7901989233585","2034.7901989233585"
"78438","2047.9688394670357","2047.9688394670357","2047.9688394670357","2050.487892016585","2050.487892016585","2050.487892016585","2042.581711659101","2042.581711659101","2042.581711659101"
"79207","2054.5396954357184","2054.5396954357184","2054.5396954357184","2053.189484877701","2053.189484877701","2053.189484877701","2041.873283055565","2041.873283055565","2041.873283055565"
"79976","2053.705036469365","2053.705036469365","2053.705036469365","2042.2797962659322","2042.2797962659322","2042.2797962659322","2043.397598032368","2043.397598032368","2043.397598032368"
"80745","2051.60819566803","2051.60819566803","2051.60819566803","2057.8104220532523","2057.8104220532523","2057.8104220532523","2034.8777800477922","2034.8777800477922","2034.8777800477922"
"81514","2060.046140901154","2060.046140901154","2060.046140901154","2044.0608088912702","2044.0608088912702","2044.0608088912702","2041.5687425352864","2041.5687425352864","2041.5687425352864"
"82283","2047.750474532012","2047.750474532012","2047.750474532012","2046.1667951908976","2046.1667951908976","2046.1667951908976","2042.6361361462484","2042.6361361462484","2042.6361361462484"
"83052","2052.4341907555363","2052.4341907555363","2052.4341907555363","2058.5165920371387","2058.5165920371387","2058.5165920371387","2042.105456989806","2042.105456989806","2042.105456989806"
"83821","2054.3625813029953","2054.3625813029953","2054.3625813029953","2059.65721186927","2059.65721186927","2059.65721186927","2041.4300943669914","2041.4300943669914","2041.4300943669914"
"84590","2065.1621509787337","2065.1621509787337","2065.1621509787337","2072.478935510369","2072.478935510369","2072.478935510369","2045.2098905031871","2045.2098905031871","2045.2098905031871"
"85359","2056.686132488592","2056.686132488592","2056.686132488592","2054.0236231978606","2054.0236231978606","2054.0236231978606","2041.5245816397673","2041.5245816397673","2041.5245816397673"
"86128","2054.458638865729","2054.458638865729","2054.458638865729","2056.562536557667","2056.562536557667","2056.562536557667","2051.9265023721664","2051.9265023721664","2051.9265023721664"
"86897","2049.4695015997054","2049.4695015997054","2049.4695015997054","2057.1826054454937","2057.1826054454937","2057.1826054454937","2052.2174154078284","2052.2174154078284","2052.2174154078284"
"87666","2065.2349623567357","2065.2349623567357","2065.2349623567357","2058.5158146779518","2058.5158146779518","2058.5158146779518","2046.2920202236671","2046.2920202236671","2046.2920202236671"
"88435","2065.3728807978086","2065.3728807978086","2065.3728807978086","2063.268107933902","2063.268107933902","2063.268107933902","2053.0296730837176","2053.0296730837176","2053.0296730837176"
"89204","2063.8175364277554","2063.8175364277554","2063.8175364277554","2071.754920971707","2071.754920971707","2071.754920971707","2053.892941080944","2053.892941080944","2053.892941080944"
"89973","2066.9134296480206","2066.9134296480206","2066.9134296480206","2057.219375519133","2057.219375519133","2057.219375519133","2048.5063970845463","2048.5063970845463","2048.5063970845463"
"90742","2059.796434451565","2059.796434451565","2059.796434451565","2070.519495994463","2070.519495994463","2070.519495994463","2057.0422571121603","2057.0422571121603","2057.0422571121603"
"91511","2062.7495261821123","2062.7495261821123","2062.7495261821123","2064.8488386045815","2064.8488386045815","2064.8488386045815","2058.714790881188","2058.714790881188","2058.714790881188"
"92280","2071.2543443667073","2071.2543443667073","2071.2543443667073","2068.323569860282","2068.323569860282","2068.323569860282","2058.641831441902","2058.641831441902","2058.641831441902"
"93049","2065.2968117162677","2065.2968117162677","2065.2968117162677","2064.0956622710883","2064.0956622710883","2064.0956622710883","2061.4491721026448","2061.4491721026448","2061.4491721026448"
"93818","2070.3327622437982","2070.3327622437982","2070.3327622437982","2072.4332119928663","2072.4332119928663","2072.4332119928663","2060.7891751067277","2060.7891751067277","2060.7891751067277"
"94587","2069.6977730936173","2069.6977730936173","2069.6977730936173","2066.998430929399","2066.998430929399","2066.998430929399","2057.8900996510097","2057.8900996510097","2057.8900996510097"
"95356","2074.7079983004446","2074.7079983004446","2074.7079983004446","2070.3083958630323","2070.3083958630323","2070.3083958630323","2058.2663740426033","2058.2663740426033","2058.2663740426033"
"96125","2070.7456540695384","2070.7456540695384","2070.7456540695384","2082.8801583944373","2082.8801583944373","2082.8801583944373","2066.730202897724","2066.730202897724","2066.730202897724"
"96894","2072.4559628297734","2072.4559628297734","2072.4559628297734","2085.881926217736","2085.881926217736","2085.881926217736","2065.6855981267563","2065.6855981267563","2065.6855981267563"
"97663","2065.9279995258507","2065.9279995258507","2065.9279995258507","2067.2421291574283","2067.2421291574283","2067.2421291574283","2061.331688943669","2061.331688943669","2061.331688943669"
"98432","2073.9434984334184","2073.9434984334184","2073.9434984334184","2082.6738414448855","2082.6738414448855","2082.6738414448855","2066.2224954923104","2066.2224954923104","2066.2224954923104"
"99201","2079.679349276804","2079.679349276804","2079.679349276804","2078.665749349763","2078.665749349763","2078.665749349763","2064.9691732922042","2064.9691732922042","2064.9691732922042"
"99970","2076.2168678541198","2076.2168678541198","2076.2168678541198","2076.270323167255","2076.270323167255","2076.270323167255","2051.778677189336","2051.778677189336","2051.778677189336"
"100739","2077.735804549837","2077.735804549837","2077.735804549837","2079.776617564777","2079.776617564777","2079.776617564777","2073.7116171559574","2073.7116171559574","2073.7116171559574"
"101508","2074.3193266562403","2074.3193266562403","2074.3193266562403","2078.2478983604415","2078.2478983604415","2078.2478983604415","2053.3344995324755","2053.3344995324755","2053.3344995324755"
"102277","2077.2879436900903","2077.2879436900903","2077.2879436900903","2078.9787601646626","2078.9787601646626","2078.9787601646626","2068.2899178531784","2068.2899178531784","2068.2899178531784"
"103046","2073.9113166964803","2073.9113166964803","2073.9113166964803","2083.906419445749","2083.906419445749","2083.906419445749","2070.0861794127422","2070.0861794127422","2070.0861794127422"
"103815","2085.6422011704644","2085.6422011704644","2085.6422011704644","2081.8001045505366","2081.8001045505366","2081.8001045505366","2072.6761455165247","2072.6761455165247","2072.6761455165247"
"104584","2082.374907791623","2082.374907791623","2082.374907791623","2072.9032383244557","2072.9032383244557","2072.9032383244557","2067.7735864240144","2067.7735864240144","2067.7735864240144"
"105353","2079.968147113529","2079.968147113529","2079.968147113529","2075.4803789394437","2075.4803789394437","2075.4803789394437","2063.3972851975545","2063.3972851975545","2063.3972851975545"
"106122","2077.3309770315977","2077.3309770315977","2077.3309770315977","2080.4720133954434","2080.4720133954434","2080.4720133954434","2074.9633208171726","2074.9633208171726","2074.9633208171726"
"106891","2082.455559333107","2082.455559333107","2082.455559333107","2080.9704696918875","2080.9704696918875","2080.9704696918875","2069.6641653181246","2069.6641653181246","2069.6641653181246"
"107660","2083.4744266033135","2083.4744266033135","2083.4744266033135","2075.4212242891294","2075.4212242891294","2075.4212242891294","2062.1740912603977","2062.1740912603977","2062.1740912603977"
"108429","2086.74004160315","2086.74004160315","2086.74004160315","2092.5504056798713","2092.5504056798713","2092.5504056798713","2079.943947499442","2079.943947499442","2079.943947499442"
"109198","2070.4699892493427","2070.4699892493427","2070.4699892493427","2081.138207369341","2081.138207369341","2081.138207369341","2076.2414385200673","2076.2414385200673","2076.2414385200673"
"109967","2075.9844085537657","2075.9844085537657","2075.9844085537657","2087.160152877565","2087.160152877565","2087.160152877565","2076.5453434461333","2076.5453434461333","2076.5453434461333"
"110736","2094.424914485816","2094.424914485816","2094.424914485816","2090.5127741893343","2090.5127741893343","2090.5127741893343","2077.3744723059335","2077.3744723059335","2077.3744723059335"
"111505","2081.2079634371084","2081.2079634371084","2081.2079634371084","2095.4036724066664","2095.4036724066664","2095.4036724066664","2069.9398256474256","2069.9398256474256","2069.9398256474256"
"112274","2083.7784400232767","2083.7784400232767","2083.7784400232767","2080.9360111260557","2080.9360111260557","2080.9360111260557","2084.007707295047","2084.007707295047","2084.007707295047"
"113043","2088.0947502098966","2088.0947502098966","2088.0947502098966","2083.713327705591","2083.713327705591","2083.713327705591","2072.812209987715","2072.812209987715","2072.812209987715"
"113812","2091.3428543059035","2091.3428543059035","2091.3428543059035","2077.2275345441653","2077.2275345441653","2077.2275345441653","2079.863420591824","2079.863420591824","2079.863420591824"
"114581","2092.339897738935","2092.339897738935","2092.339897738935","2085.5619008562508","2085.5619008562508","2085.5619008562508","2073.4672363640507","2073.4672363640507","2073.4672363640507"
"115350","2087.4234985066105","2087.4234985066105","2087.4234985066105","2093.235170838702","2093.235170838702","2093.235170838702","2071.6651744295077","2071.6651744295077","2071.6651744295077"
"116119","2092.757761570572","2092.757761570572","2092.757761570572","2091.378838826418","2091.378838826418","2091.378838826418","2082.64709140716","2082.64709140716","2082.64709140716"
"116888","2093.403817232614","2093.403817232614","2093.403817232614","2079.4459647933554","2079.4459647933554","2079.4459647933554","2085.002964724363","2085.002964724363","2085.002964724363"
"117657","2096.6439491710685","2096.6439491710685","2096.6439491710685","2089.1320520337913","2089.1320520337913","2089.1320520337913","2073.979928586671","2073.979928586671","2073.979928586671"
